height_cm,media,price_gbp,title,url,width_cm
29.7,"Spraypaint, vinyl, card, digital print collage",£175.00,Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,21
30,Acrylic paint on sprayed board,£240.00,C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),£400.00,Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,50.8
30,Acrylic paint on sprayed board,£240.00,C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30
30,Acrylic paint on sprayed board,£240.00,P1 by Olly Fathers,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30
40.9,"Set of four Beech, Mdf, Acrylic paint, Vinyl","£1,200.00",All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50.2
30,Acrylic paint on sprayed board,£240.00,P4 by Olly Fathers,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30
30,Acrylic paint on sprayed board,£240.00,P8 by Olly Fathers,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30
40,Digital print on canvas with hand dissolved ink,£290.00,Alpine 2 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,30
57.5,,£690.00,Summer Breeze by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,45
40,Digital print on canvas with hand dissolved ink,£290.00,Alpine 3 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,30
90,,"£1,400.00",Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,120
110,"Oil paint, spray paint & gold leaf on board","£1,600.00",The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,130
30,"Oil paint, spray paint & gold leaf on board",£340.00,OFF ROAD by Lucy Baker,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,40
